REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA52000033	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Orges	Champagne-Ardenne	52	Orges	52365	Fleuristerie d'Orges	Fleuristerie (chemin de la) 4	propriété d'une société privée		Le moulin façades et toitures, sa roue, les mécanismes d' entraînement des machines, la turbine (cad. AE 97) : inscription par arrêté du 12 janvier 2012	2012/01/12 : inscrit MH		19e siècle	
PA51000022	recensement immeubles MH	Champagne-Ardenne ; Marne ; Montmirail	Champagne-Ardenne	51	Montmirail	51380	Colonne commémorative		propriété de l'Etat	affecté au ministère chargé de la culture	La colonne commémorative (cad. YA12, lieudit les Corvées) : inscription par arrêté du 31 décembre 2012	2012/12/31 : inscrit MH	Morsaline (architecte)	3e quart 19e siècle	
PA51000021	recensement immeubles MH	Champagne-Ardenne ; Marne ; Épernay	Champagne-Ardenne	51	Épernay	51230	Ancien établissement de viticulture de la maison Moët-et-Chandon, dit " Le Fort Chabrol "	Mardeuil (avenue de) 1	propriété d'une société privée		L' ancien établissement, y compris ses éléments utilitaires et décoratifs, fixés aux murs, tels que les appliques du vestibule d' entrée, les bras de lumière de la salle de greffage, les lampadaires de l' entrée, ainsi que les gradins en métal de la serre et l' aménagement du laboratoire d' oenologie (cad. BZ 29) : inscription par arrêté du 6 décembre 2012	2012/12/06 : inscrit MH	Piquart Henri (architecte)	limite 19e siècle 20e siècle	
PA51000020	recensement immeubles MH	Champagne-Ardenne ; Marne ; Châtillon-sur-Marne	Champagne-Ardenne	51	Châtillon-sur-Marne	51136	Bâtiment de l'ancien tribunal du bailliage	Hôtel-de-Ville (rue de l') 4	propriété de la commune		L' escalier 17e siècle et sa cage, ainsi que le palier et ses deux portes recto-verso, y compris leur décor, la cheminée de la grande pièce du premier étage et sa taque avec la pièce qui les reçoit, cette pièce comprenant également le revers de la porte palière de l' escalier (cad. AL 909) : inscription par arrêté du 6 décembre 2012	2012/12/06 : inscrit MH		2e moitié 17e siècle	
PA51000019	recensement immeubles MH	Champagne-Ardenne ; Marne ; Epernay	Champagne-Ardenne	51	Epernay	51230	Château Perrier	Champagne (avenue de) 13	propriété de la commune		Les façades et toitures des deux pavillons de part et d' autre de l' entrée, la grille et son mur de soutènement, le pavement de la cour, la statue du veneur et son socle, le logis en totalité, y compris la grande cave (cad. AI 105) : inscription par arrêté du 26 juin 2012	2012/06/26 : inscrit MH	Cordier Eugène (architecte)	3e quart 19e siècle	
PA51000018	recensement immeubles MH	Champagne-Ardenne ; Marne ; Epernay	Champagne-Ardenne	51	Epernay	51230	Hôtel de Ville, ancien hôtel Auban-Moët	Champagne (avenue de) 7	propriété de la commune		Façades et toitures, décor intérieur du rez-de-chaussée, escalier et cage d' escalier avec ses vitraux, vestibule de l' étage avec son puits de lumière, façades et toitures des communs et du petit pavillon sur la rue Jean-Moët, ensemble du parc avec tous ses aménagements, mur de clôture et monument aux morts (cad. BI 520) : inscription par arrêté du 26 juin 2012	2012/06/26 : inscrit MH		milieu 19e siècle	
PA08000015	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Revin	Champagne-Ardenne	08	Revin	08363	Cité ouvrière Biard, dite cité Paris-Campagne	Paris-Campagne (cité) 1 à 24	propriété d'une société privée		Façades et toitures (cad. AS 333 à 341, 345 à 356, 460, 462, 464) : inscription par arrêté du 31 décembre 2012	2012/12/31 : inscrit MH		1ère moitié 20e siècle	
PA08000014	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Charleville-Mézières	Champagne-Ardenne	08	Charleville-Mézières	08105	Ancienne usine métallurgique " La Macérienne "	Louis-Tirman (avenue) 10	propriété de la commune		La totalité du grand atelier à étages, du bâtiment accolé des turbines, du bâtiment de nickelage au centre de la cour, du bâtiment de stockage à l' ouest de la cour, les façades et toitures de la maison du concierge sur la rue et des bâtiments des bureaux, l' entrée sur la rue (cad. CE 584) : inscription par arrêté du 31 décembre 2012	2012/12/31 : inscrit MH	Dardenne (architecte)	4e quart 19e siècle ; 1er quart 20e siècle	
PA52000032	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Chalindrey	Champagne-Ardenne	52	Chalindrey	52093	Fort Vercingétorix de Cognelot		propriété de la commune		Le fort (cad. E 992) : inscription par arrêté du 7 janvier 2011	2011/01/07 : inscrit MH	Séré de Rivières (ingénieur)	2e moitié 19e siècle	
PA51000017	recensement immeubles MH	Champagne-Ardenne ; Marne ; Etrepy	Champagne-Ardenne	51	Etrepy	51240	Château d'Etrepy	Grande-Rue () 29B	propriété d'une personne privée		Les façades et toitures du château (corps principal et pavillons), sa parcelle d' implantation (cad AE 184), le portail d' entrée avec ses lions, les maçonneries des courtines, l' escalier ouest et les deux sphinges le gardant, les douves et le pont d' accès, ainsi que le décor intérieur du grand salon (cad. AE 184, 140) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH		1ère moitié 17e siècle	
PA10000031	recensement immeubles MH	Champagne-Ardenne ; Aube ; Pargues	Champagne-Ardenne	10	Pargues	10278	Eolienne de Pargues	Orme (rue de l') 3bis	propriété de la commune		L' éolienne, avec son château d' eau et son lavoir (cad. A 380) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH		1er quart 20e siècle	
PA10000030	recensement immeubles MH	Champagne-Ardenne ; Aube ; Polisy	Champagne-Ardenne	10	Polisy	10296	Château de Polisy		propriété privée		L' ancienne basse-cour du château : l' aile d' entrée en totalité comprenant notamment l' auditoire, l' ancien passage d' entrée avec la pièce à l' ouest et sa cheminée, la laiterie y compris le puits, le cellier et son entrée ; le bâtiment du 19e siècle avec trois portes cochères dont celle du centre est surmontée d' un édicule avec une serlienne ; le logis du fermier ; l' ancienne chapelle seigneuriale avec son décor Renaissance et son enfeu (cad. B 1109, 1142, 1143, 1147) : inscription par arrêté du 10 mars 2011 - Le château (cad. B 1444) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH ; 2011/03/10 : inscrit MH		milieu 16e siècle	
PA10000029	recensement immeubles MH	Champagne-Ardenne ; Aube ; Nogent-sur-Seine	Champagne-Ardenne	10	Nogent-sur-Seine	10268	Monument aux morts	Armes (place d')	propriété de la commune		Le monument aux morts (cad. non cadastré) : inscription par arrêté du 9 mai 2011	2011/05/09 : inscrit MH	Boucher Alfred (sculpteur)	1er quart 20e siècle	
PA08000013	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Fossé	Champagne-Ardenne	08	Fossé	08176	Eglise Saint-Nicolas de Fossé		propriété de la commune		L' église (cad. AB 109) : inscription par arrêté du 28 novembre 2011	2011/11/28 : inscrit MH	Szekely Pierre (sculpteur) ; Szekely Véra (céramiste) ; Borderie André (peintre)	2e moitié 16e siècle ; 3e quart 20e siècle	
PA52000031	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Joinville	Champagne-Ardenne	52	Joinville	52250	Maison	Auditoire (rue de l') 14	propriété d'une personne privée		L'aile 16e siècle de plan rectangulaire, située entre la rue de l'Auditoire et la rue Saunoise, et l'aile 18e siècle en retour d'équerre vers le sud (rue des Cloutiers) : en totalité (y compris le décor intérieur) , ainsi que le portail sur la rue de l'Auditoire et le mur de clôture de la petite cour (rue de l'Auditoire et rue des Cloutiers) (cad. AB 117) : inscription par arrêté du 25 mai 2010	2010/05/25 : inscrit MH		16e siècle ; 1ère moitié 18e siècle	
PA52000030	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Enfonvelle	Champagne-Ardenne	52	Enfonvelle	52185	Ancienne maison seigneuriale d'Enfonvelle	Principale (rue) 14	propriété d'une personne privée		Les façades et toitures (cad. AB 128) : inscription par arrêté du 17 février 2010	2010/02/17 : inscrit MH		1er quart 18e siècle	
